TRADE NAME,POSTAL CITY,COUNTY,STREET ADDRESS,ZIP,Med Grade,Delivery,Full Address,long,lat
420VILLE,HUNTINGTON,BAKER,210 W. WASHINGTON ST. ,97907,,,"210 W. WASHINGTON ST. , HUNTINGTON, OR",-117.2711377,44.35094489999999
HOTBOX FARMS,HUNTINGTON,BAKER,120 E WASHINGTON ST ,97907,Yes,,"120 E WASHINGTON ST , HUNTINGTON, OR",-117.2661845,44.3511435
SUMPTER NUGGET,SUMPTER,BAKER,"160 N. MILL STREET, SUITE #102 ",97877,Yes,,"160 N. MILL STREET, SUITE #102 , SUMPTER, OR",-118.2021633,44.74570689999999
THE COUGHIE POT,SUMPTER,BAKER,363 B SOUTH MILL STREET PO BOX 74,97877,,,"363 B SOUTH MILL STREET PO BOX 74, SUMPTER, OR",-118.2023311,44.7430577
BEATNICK'S FINEST,CORVALLIS,BENTON,126 SW AVERY AVE ,97333,,,"126 SW AVERY AVE , CORVALLIS, OR",-123.2661048,44.5516046
BEAVER BOWLS,CORVALLIS,BENTON,227 SW 6TH ST ,97333,Yes,Yes,"227 SW 6TH ST , CORVALLIS, OR",-123.2645768,44.5635576
BLOOMINATI CANNABIS CORP,CORVALLIS,BENTON,240 SW WASHINGTON AVE ,97333,,,"240 SW WASHINGTON AVE , CORVALLIS, OR",-123.2623093,44.5600393
GREEN ROOM,CORVALLIS,BENTON,2521 NW 9TH ST ,97330,Yes,Yes,"2521 NW 9TH ST , CORVALLIS, OR",-123.2516316,44.5934984
GREEN ROOM (CAMPUS),CORVALLIS,BENTON,111 NW 16TH ST ,97330,Yes,Yes,"111 NW 16TH ST , CORVALLIS, OR",-123.2737373,44.5678658
GREEN ROOM (SOUTH),CORVALLIS,BENTON,1665 SE 3RD ST ,97333,,,"1665 SE 3RD ST , CORVALLIS, OR",-123.2650162,44.5496797
HIGH QUALITY COMPASSION,CORVALLIS,BENTON,1300 NW 9TH ST ,97330,Yes,Yes,"1300 NW 9TH ST , CORVALLIS, OR",-123.2610086,44.5785016
HIGH QUALITY COMPASSION,CORVALLIS,BENTON,1435 NW 9TH ST. ,97330,,,"1435 NW 9TH ST. , CORVALLIS, OR",-123.2585034,44.5810857
MARIE JANES CANNABIS CONNECTION,CORVALLIS,BENTON,568 SW 3RD ST. ,97333,Yes,Yes,"568 SW 3RD ST. , CORVALLIS, OR",-123.2638206,44.5596547
MIRACLE GREENS,CORVALLIS,BENTON,220 NW 2ND ST ,97330,,,"220 NW 2ND ST , CORVALLIS, OR",-123.2592622,44.5655749
MR. NICE GUY - 3RD ST,CORVALLIS,BENTON,504 NW 3RD ST ,97330,Yes,Yes,"504 NW 3RD ST , CORVALLIS, OR",-123.2591208,44.5685385
MR. NICE GUY CORVALLIS,CORVALLIS,BENTON,687 SW 15TH ST. ,97333,Yes,Yes,"687 SW 15TH ST. , CORVALLIS, OR",-123.2739832,44.56132059999999
NATURE'S PATH,CORVALLIS,BENTON,711 NW 3RD ST. ,97333,,,"711 NW 3RD ST. , CORVALLIS, OR",-123.2576389,44.5700547
SATIVA'S PLACE,CORVALLIS,BENTON,1106 NW VANBUREN ,97330,,,"1106 NW VANBUREN , CORVALLIS, OR",-123.2688236,44.5684373
THE AGRESTIC NORTH INC,CORVALLIS,BENTON,1945 NW 9TH ST ,97330,Yes,Yes,"1945 NW 9TH ST , CORVALLIS, OR",-123.2549424,44.5876489
OREGON BUD COMPANY ,CLACKAMAS,CLACKAMAS,16631 SE 82ND DR ,97015,Yes,Yes,"16631 SE 82ND DR , CLACKAMAS, OR",-122.5695976,45.4023444
STONEY ONLY CLACKAMAS,CLACKAMAS,CLACKAMAS,10289 SE HWY 212 ,97015,Yes,Yes,"10289 SE HWY 212 , CLACKAMAS, OR",-122.5579314,45.408242
CHALICE FARMS,DAMASCUS,CLACKAMAS,"15252 SE HIGHWAY 224, SUITE B ",97089,Yes,Yes,"15252 SE HIGHWAY 224, SUITE B , DAMASCUS, OR",-122.5054354,45.408865
GREEN APPLE NW,DAMASCUS,CLACKAMAS,24180 SE BORGES RD #A ,97089,,,"24180 SE BORGES RD #A , DAMASCUS, OR",-122.4141971,45.4547322
HASHSTORIA,GLADSTONE,CLACKAMAS,17763 SE 82ND DR STE D ,97027,,,"17763 SE 82ND DR STE D , GLADSTONE, OR",-122.5744239,45.3945219
ELECTRIC LETTUCE SUNNYSIDE,HAPPY VALLEY,CLACKAMAS,16416 SE SUNNYSIDE ROAD ,97015,,,"16416 SE SUNNYSIDE ROAD , HAPPY VALLEY, OR",-122.4942589,45.426738
STUMPTOWN CANNABIS ,HAPPY VALLEY,CLACKAMAS,10587 SE 82ND AVE ,97086,Yes,Yes,"10587 SE 82ND AVE , HAPPY VALLEY, OR",-122.5792684,45.4463511
LITTLE AMSTERDAM WELLNESS CENTER,MILWAUKIE,CLACKAMAS,18819 SE MCLOUGHLIN BOULEVARD ,97267,Yes,,"18819 SE MCLOUGHLIN BOULEVARD , MILWAUKIE, OR",-122.6096771,45.3862521
MARITIME CAFE,MILWAUKIE,CLACKAMAS,17417 SE MCLOUGHLIN BLVD. ,97267,Yes,Yes,"17417 SE MCLOUGHLIN BLVD. , MILWAUKIE, OR",-122.6179271,45.39637889999999
NECTAR,MILWAUKIE,CLACKAMAS,6335 SE HARMONY ROAD ,97222,,,"6335 SE HARMONY ROAD , MILWAUKIE, OR",-122.5976858,45.4322163
"NECTAR MARKETS, LLC",MILWAUKIE,CLACKAMAS,13800 SE MCLOUGHLIN BLVD ,97222,Yes,Yes,"13800 SE MCLOUGHLIN BLVD , MILWAUKIE, OR",-122.6330071,45.4234172
PARADISE FOUND,MILWAUKIE,CLACKAMAS,10655 SE 42ND AVENUE ,97222,,,"10655 SE 42ND AVENUE , MILWAUKIE, OR",-122.6198741,45.446227
THE GREEN PLANET,MILWAUKIE,CLACKAMAS,15080 SE MCLOUGHLIN BLVD  ,97267,Yes,Yes,"15080 SE MCLOUGHLIN BLVD  , MILWAUKIE, OR",-122.6302029,45.4146018
"TODAY'S HERBAL CHOICE MILWAUKIE, LLC",MILWAUKIE,CLACKAMAS,3087 SE MONROE ST ,97222,,,"3087 SE MONROE ST , MILWAUKIE, OR",-122.6301321,45.4455794
TOP HAT EXPRESS,MILWAUKIE,CLACKAMAS,11916 SE 22ND AVENUE SUITE B,97222,,,"11916 SE 22ND AVENUE SUITE B, MILWAUKIE, OR",-122.6407998,45.4377713
BIGFOOT BUD COMPANY,MOLALLA,CLACKAMAS,109 WEST MAIN STREET ,97038,Yes,Yes,"109 WEST MAIN STREET , MOLALLA, OR",-122.5775454,45.1477985
"TODAY'S HERBAL CHOICE, INC.",MOLALLA,CLACKAMAS,31568 S HWY 213 ,97038,Yes,,"31568 S HWY 213 , MOLALLA, OR",-122.606552,45.149632
CANNABIS NATION OREGON CITY,OREGON CITY,CLACKAMAS,1128 MAIN ST ,97045,Yes,,"1128 MAIN ST , OREGON CITY, OR",-122.6031821,45.3604722
ELECTRIC LETTUCE OREGON CITY,OREGON CITY,CLACKAMAS,1279 MOLALLA AVE ,97045,,,"1279 MOLALLA AVE , OREGON CITY, OR",-122.5905887,45.3371899
FIVE ZERO TREES OREGON CITY,OREGON CITY,CLACKAMAS,719 MAIN ST  ,97045,,,"719 MAIN ST  , OREGON CITY, OR",-122.6078166,45.3583454
GNOME GROWN OREGON,OREGON CITY,CLACKAMAS,2005 BEAVERCREEK RD. ,97045,Yes,Yes,"2005 BEAVERCREEK RD. , OREGON CITY, OR",-122.5814376,45.3330731
GNOME GROWN OREGON,OREGON CITY,CLACKAMAS,719 MOLALLA AVE ,97045,Yes,Yes,"719 MOLALLA AVE , OREGON CITY, OR",-122.5964083,45.3453883
KALEAFA,OREGON CITY,CLACKAMAS,19197 S MOLALLA AVENUE ,97045,,,"19197 S MOLALLA AVENUE , OREGON CITY, OR",-122.585007,45.3283947
WEST,OREGON CITY,CLACKAMAS,921 7TH ST.  ,97045,Yes,Yes,"921 7TH ST.  , OREGON CITY, OR",-122.6015973,45.3548725
WILD WEST EMPORIUM,OREGON CITY,CLACKAMAS,222 MOLALLA AVE ,97045,Yes,Yes,"222 MOLALLA AVE , OREGON CITY, OR",-122.5970548,45.3488438
ELECTRIC LETTUCE SANDY,PORTLAND,CLACKAMAS,2026 NE SANDY BLVD ,97232,,,"2026 NE SANDY BLVD , PORTLAND, OR",-122.6448376,45.5259373
GREEN LION,PORTLAND,CLACKAMAS,7000 SE JOHNSON CREEK BLVD. ,97206,,,"7000 SE JOHNSON CREEK BLVD. , PORTLAND, OR",-122.5905128,45.4557907
GREEN STOP MEDS,PORTLAND,CLACKAMAS,17030 SE MCLOUGHLIN BLVD ,97267,,,"17030 SE MCLOUGHLIN BLVD , PORTLAND, OR",-122.6194804,45.400655
MOUNT HOOD CANNABIS COMPANY,RHODODENDRON,CLACKAMAS,73410 US-26 ,97049,Yes,Yes,"73410 US-26 , RHODODENDRON, OR",-121.9092306,45.3269656
SMOKE ON THE MOUNTAIN LLC,WELCHES,CLACKAMAS,23860 E ARRAH WANNA BLVD ,97067,Yes,Yes,"23860 E ARRAH WANNA BLVD , WELCHES, OR",-121.9731087,45.350362
FIVE ZERO TREES ASTORIA,ASTORIA,CLATSOP,1169 COMMERCIAL ST ,97103,,,"1169 COMMERCIAL ST , ASTORIA, OR",-123.8307203,46.1889057
HASHSTORIA,ASTORIA,CLATSOP,229 W MARINE DR #C,97103,Yes,Yes,"229 W MARINE DR #C, ASTORIA, OR",-123.8482455,46.18946709999999
HI CASUAL CANNABIS,ASTORIA,CLATSOP,193 MARINE DRIVE ,97103,Yes,Yes,"193 MARINE DRIVE , ASTORIA, OR",-123.8407887,46.1904511
MR. NICE GUY ASTORIA,ASTORIA,CLATSOP,690 OLNEY AVE. ,97103,Yes,Yes,"690 OLNEY AVE. , ASTORIA, OR",-123.8364774,46.1734053
MR. NICE GUY BOND ST.,ASTORIA,CLATSOP,730 BOND STREET STE. B ,97103,Yes,Yes,"730 BOND STREET STE. B , ASTORIA, OR",-123.8353654,46.1900366
SWEET RELIEF NATURAL MEDICINE,ASTORIA,CLATSOP,1444 COMMERCIAL ST. ,97103,Yes,Yes,"1444 COMMERCIAL ST. , ASTORIA, OR",-123.828053,46.1892176
THE FARMACY,ASTORIA,CLATSOP,2911 MARINE DR. SUITE B,97103,Yes,Yes,"2911 MARINE DR. SUITE B, ASTORIA, OR",-123.8115323,46.1898588
THE FARMACY WARRENTON,ASTORIA,CLATSOP,2911 MARINE DRIVE  SUITE A,97103,,,"2911 MARINE DRIVE  SUITE A, ASTORIA, OR",-123.8115323,46.1898588
BAHAMA BUDS,CANNON BEACH,CLATSOP,1088 S HEMLOCK ST  ,97110,,,"1088 S HEMLOCK ST  , CANNON BEACH, OR",-123.9621462,45.890161
